               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10701,             0.02478,             0.04561,             0.80174,            0.015686,          0.00085788,          0.00016754,             0.10165,            0.020279,             0.04383,           0.0033051,           0.0033051,            0.070254
                   1,            0.092487,            0.020583,            0.036798,             0.46836,            0.095871,            0.069284,            0.020547,            0.087619,            0.016065,             0.03472,           0.0065946,           0.0065946,             0.04021
                   2,            0.080789,            0.016756,            0.025707,             0.32294,             0.21383,             0.13043,            0.035079,            0.075631,            0.011475,            0.023172,           0.0098401,           0.0098401,            0.010123
                   3,            0.071129,            0.014028,             0.01837,             0.35432,             0.34717,             0.20823,            0.057276,            0.067002,            0.010695,            0.016348,            0.009802,            0.009802,            0.009802
                   4,            0.062237,            0.012962,             0.01347,             0.41604,             0.47255,             0.39505,             0.12676,            0.061388,           0.0088696,            0.012047,            0.009802,            0.009802,            0.009802
                   5,            0.057858,            0.012244,            0.009915,             0.47173,             0.56096,             0.49568,             0.17155,            0.054983,           0.0082828,           0.0096506,            0.009736,            0.009736,            0.009736
                   6,            0.054438,            0.012024,            0.008673,               0.624,             0.62178,             0.60694,              0.2494,            0.050296,           0.0079493,           0.0079299,             0.00967,             0.00967,             0.00967
                   7,             0.05213,            0.011537,           0.0080019,              0.7319,             0.57051,              0.6117,             0.25587,            0.051649,           0.0077557,            0.008676,            0.009604,            0.009604,            0.009604
                   8,            0.050835,            0.011009,           0.0066659,             0.66361,             0.64111,             0.68775,             0.27301,            0.049617,            0.007526,           0.0055245,            0.009538,            0.009538,            0.009538
                   9,            0.048986,            0.010701,           0.0063862,             0.72634,             0.73995,             0.74813,             0.32079,            0.044525,           0.0067027,           0.0053203,            0.009472,            0.009472,            0.009472
