               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11025,            0.025124,             0.04882,          0.00019609,            0.011765,          7.5788e-05,          1.2706e-05,             0.10303,             0.02094,            0.046231,           0.0033262,           0.0033262,            0.070064
                   1,              0.1001,             0.02152,            0.043534,            0.045729,            0.038843,            0.019997,           0.0057742,            0.095399,            0.017436,            0.039603,           0.0066156,           0.0066156,             0.04002
                   2,             0.09111,             0.01812,            0.036687,              0.8424,            0.054028,            0.030463,           0.0053071,            0.083961,             0.01446,            0.035003,            0.009861,            0.009861,           0.0099319
                   3,            0.082359,            0.016735,            0.029916,             0.28219,             0.18381,             0.11127,            0.039853,            0.070009,            0.012715,            0.027765,            0.009802,            0.009802,            0.009802
                   4,            0.074828,              0.0163,            0.026025,             0.90354,            0.071849,            0.090362,            0.029164,            0.077629,            0.013304,            0.026241,            0.009802,            0.009802,            0.009802
                   5,            0.070163,            0.015636,            0.022363,            0.088726,             0.32137,             0.15818,            0.052722,            0.067361,             0.01188,             0.02337,            0.009736,            0.009736,            0.009736
                   6,            0.066693,            0.015016,            0.019521,             0.17361,             0.31847,              0.2126,             0.05185,            0.061856,           0.0098359,             0.01928,             0.00967,             0.00967,             0.00967
                   7,            0.062756,            0.014697,            0.017839,             0.41009,             0.44923,             0.38962,              0.1229,            0.055413,            0.010692,            0.015856,            0.009604,            0.009604,            0.009604
                   8,            0.058887,            0.013967,            0.015174,             0.53156,             0.47642,             0.46514,             0.15488,            0.051722,           0.0092108,            0.013542,            0.009538,            0.009538,            0.009538
                   9,            0.056408,            0.013381,            0.013788,             0.55158,             0.46805,             0.45486,             0.14896,            0.055522,           0.0090258,            0.013216,            0.009472,            0.009472,            0.009472
                  10,            0.054909,            0.012943,            0.012619,             0.72205,              0.6031,             0.68787,             0.29029,            0.044236,           0.0085556,            0.010833,            0.009406,            0.009406,            0.009406
                  11,            0.052201,            0.012551,            0.011387,             0.65846,             0.60703,             0.62728,             0.24653,            0.048493,           0.0077665,            0.009345,             0.00934,             0.00934,             0.00934
                  12,            0.050758,            0.011952,            0.011509,             0.69495,             0.65432,             0.70116,             0.30345,            0.046323,           0.0075906,           0.0095993,            0.009274,            0.009274,            0.009274
                  13,            0.049779,            0.011809,            0.010122,             0.82017,             0.68163,             0.78039,             0.36996,            0.041721,           0.0073198,           0.0088233,            0.009208,            0.009208,            0.009208
                  14,            0.047368,            0.011249,           0.0087203,             0.81329,             0.63597,             0.78692,              0.3421,            0.041945,           0.0072632,           0.0076978,            0.009142,            0.009142,            0.009142
                  15,            0.046066,            0.011111,           0.0084047,             0.81652,             0.73988,             0.82292,              0.3817,            0.039997,           0.0070256,           0.0069604,            0.009076,            0.009076,            0.009076
