               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10239,             0.02291,            0.043902,             0.51888,            0.070959,            0.035911,           0.0082997,            0.080541,            0.015508,            0.034847,           0.0033051,           0.0033051,            0.070254
                   1,            0.071944,            0.017326,            0.028357,             0.20572,             0.35173,             0.20636,            0.069136,            0.064996,            0.012397,            0.026276,           0.0065946,           0.0065946,             0.04021
                   2,            0.065923,            0.013821,            0.021185,             0.22989,             0.30698,             0.21947,            0.071625,            0.073111,            0.010221,            0.029746,           0.0098401,           0.0098401,            0.010123
                   3,            0.059908,            0.012491,            0.016576,              0.4797,             0.29697,             0.27517,             0.11085,            0.060513,            0.011354,            0.018686,            0.009802,            0.009802,            0.009802
                   4,            0.053058,            0.011448,            0.012992,             0.69246,             0.54598,             0.63091,             0.26714,             0.04777,           0.0080115,            0.013328,            0.009802,            0.009802,            0.009802
                   5,            0.048472,            0.010774,           0.0095506,             0.76585,             0.69671,             0.76468,             0.37456,            0.042493,           0.0068054,           0.0091013,            0.009736,            0.009736,            0.009736
                   6,            0.047344,            0.010633,           0.0093143,               0.828,             0.70821,             0.80238,             0.41036,            0.041541,           0.0069186,           0.0085213,             0.00967,             0.00967,             0.00967
                   7,            0.044433,            0.010169,           0.0077633,             0.69236,             0.74631,             0.77855,             0.38167,            0.043514,           0.0069617,           0.0081339,            0.009604,            0.009604,            0.009604
                   8,            0.043136,           0.0095901,           0.0063218,             0.85335,             0.78328,             0.86071,             0.41884,            0.038751,           0.0059662,           0.0047683,            0.009538,            0.009538,            0.009538
                   9,            0.041424,           0.0093016,             0.00647,             0.80643,             0.73353,             0.81472,             0.44052,            0.037981,           0.0067998,            0.010572,            0.009472,            0.009472,            0.009472
                  10,            0.040902,           0.0091155,           0.0055953,             0.92257,             0.82956,              0.9142,             0.48521,            0.035132,           0.0055075,           0.0037878,            0.009406,            0.009406,            0.009406
                  11,             0.03899,           0.0089224,           0.0043559,             0.89635,              0.8962,             0.93813,             0.51721,            0.035231,           0.0052071,           0.0039097,             0.00934,             0.00934,             0.00934
                  12,              0.0384,           0.0085084,           0.0048256,             0.90103,             0.88055,               0.932,             0.53681,            0.033161,           0.0053313,           0.0044482,            0.009274,            0.009274,            0.009274
                  13,            0.037276,           0.0084223,           0.0038095,             0.92047,             0.86823,             0.92953,             0.51303,            0.034208,           0.0050218,           0.0029855,            0.009208,            0.009208,            0.009208
                  14,            0.036281,           0.0082658,           0.0037719,             0.93121,             0.92172,             0.95548,             0.50001,            0.034655,           0.0049872,           0.0024401,            0.009142,            0.009142,            0.009142
                  15,            0.035071,            0.007948,           0.0035236,             0.96016,             0.91394,             0.95775,             0.53799,            0.032799,           0.0047849,           0.0026079,            0.009076,            0.009076,            0.009076
                  16,            0.034906,           0.0077817,           0.0032662,             0.92769,              0.9128,             0.95808,             0.55861,            0.031364,           0.0049823,           0.0025133,             0.00901,             0.00901,             0.00901
                  17,            0.033633,           0.0078957,           0.0027416,             0.92162,             0.89814,             0.95841,             0.57371,            0.030696,           0.0047882,           0.0019004,            0.008944,            0.008944,            0.008944
                  18,            0.033553,           0.0075621,           0.0025731,             0.95457,             0.94774,             0.96956,             0.56896,            0.029584,           0.0045898,           0.0014828,            0.008878,            0.008878,            0.008878
                  19,            0.033217,            0.007412,           0.0024756,             0.93064,             0.92723,              0.9572,             0.54969,            0.030688,           0.0048316,           0.0022445,            0.008812,            0.008812,            0.008812
                  20,            0.032876,           0.0076574,           0.0027421,             0.95256,             0.93555,             0.97369,             0.57079,            0.029807,            0.004374,           0.0021921,            0.008746,            0.008746,            0.008746
                  21,            0.032107,           0.0075539,           0.0031068,             0.96077,             0.93167,              0.9675,             0.56763,            0.029636,           0.0045074,             0.00154,             0.00868,             0.00868,             0.00868
                  22,            0.032054,            0.007284,           0.0023315,              0.9692,             0.92993,             0.97768,             0.60028,            0.029644,           0.0044096,           0.0015277,            0.008614,            0.008614,            0.008614
                  23,            0.031836,           0.0072071,           0.0026945,              0.9605,             0.94055,             0.97729,             0.58189,             0.02906,           0.0045004,           0.0014264,            0.008548,            0.008548,            0.008548
                  24,            0.031423,           0.0074779,           0.0028673,             0.92136,             0.89356,             0.94907,             0.57253,             0.03064,           0.0052355,           0.0033681,            0.008482,            0.008482,            0.008482
                  25,            0.031679,           0.0074682,           0.0028654,             0.93704,              0.9222,             0.96582,             0.57664,            0.031023,           0.0047684,            0.002248,            0.008416,            0.008416,            0.008416
                  26,            0.031212,           0.0074115,           0.0027364,             0.95825,             0.95641,             0.97714,             0.59526,            0.029615,           0.0045096,           0.0012785,             0.00835,             0.00835,             0.00835
                  27,              0.0315,           0.0069301,           0.0021232,             0.95187,             0.95442,             0.97603,             0.57471,            0.029985,           0.0045197,           0.0012265,            0.008284,            0.008284,            0.008284
                  28,            0.031135,           0.0072105,           0.0020024,             0.94662,              0.9448,             0.97747,             0.59584,            0.029263,           0.0044393,           0.0016665,            0.008218,            0.008218,            0.008218
                  29,            0.030416,           0.0073052,           0.0022228,              0.9551,             0.92945,             0.96565,             0.60626,            0.028013,            0.004538,            0.001497,            0.008152,            0.008152,            0.008152
                  30,            0.030389,           0.0069111,           0.0020324,             0.96474,             0.96537,             0.98352,             0.61572,            0.028477,           0.0042578,           0.0012075,            0.008086,            0.008086,            0.008086
                  31,            0.029802,           0.0068843,           0.0019645,             0.96059,             0.96234,             0.97831,             0.60939,            0.028349,           0.0042299,           0.0013167,             0.00802,             0.00802,             0.00802
                  32,            0.029138,           0.0067852,           0.0015945,             0.96467,             0.98038,             0.98777,             0.61489,            0.028454,            0.004177,           0.0011812,            0.007954,            0.007954,            0.007954
                  33,            0.029231,           0.0065535,           0.0016884,             0.95328,             0.97095,             0.97922,             0.62379,            0.027768,           0.0041261,          0.00096181,            0.007888,            0.007888,            0.007888
                  34,            0.028775,           0.0065665,           0.0017029,             0.96357,             0.97694,               0.982,             0.62299,            0.027773,           0.0041681,             0.00116,            0.007822,            0.007822,            0.007822
                  35,            0.028883,           0.0067272,           0.0020774,             0.95957,             0.96553,             0.98066,             0.62113,             0.02791,           0.0042397,          0.00098962,            0.007756,            0.007756,            0.007756
                  36,            0.028471,           0.0067769,           0.0017455,             0.96599,             0.96742,             0.98276,             0.62058,             0.02747,           0.0041408,          0.00085012,             0.00769,             0.00769,             0.00769
                  37,            0.028557,           0.0068038,           0.0017158,             0.95506,               0.949,             0.97538,             0.60515,            0.028477,            0.004382,           0.0014993,            0.007624,            0.007624,            0.007624
                  38,            0.028594,           0.0064751,           0.0015331,             0.95857,             0.96309,             0.97989,             0.62077,            0.027156,            0.004112,           0.0014041,            0.007558,            0.007558,            0.007558
                  39,            0.028098,           0.0066326,           0.0016741,              0.9666,             0.95882,              0.9787,             0.62464,            0.027922,           0.0041625,          0.00096717,            0.007492,            0.007492,            0.007492
                  40,            0.028001,           0.0065639,           0.0015651,             0.97194,             0.97118,             0.98644,             0.62026,            0.027115,           0.0040963,           0.0012732,            0.007426,            0.007426,            0.007426
                  41,            0.028095,           0.0064073,           0.0016279,             0.97232,             0.91444,             0.92707,             0.57037,            0.027828,           0.0040826,          0.00092419,             0.00736,             0.00736,             0.00736
                  42,              0.0276,           0.0063664,            0.001608,             0.97485,             0.96451,             0.98282,             0.63384,            0.026406,            0.004112,          0.00087298,            0.007294,            0.007294,            0.007294
                  43,            0.028024,           0.0063795,           0.0015075,             0.97713,             0.97321,             0.98719,             0.63248,            0.027109,           0.0040504,          0.00090087,            0.007228,            0.007228,            0.007228
                  44,            0.027355,           0.0062915,           0.0014705,               0.971,             0.98384,             0.98739,             0.62772,            0.026532,           0.0040293,          0.00088817,            0.007162,            0.007162,            0.007162
                  45,            0.027206,           0.0062867,            0.001594,             0.96881,             0.97966,             0.98909,             0.63939,            0.026477,           0.0039925,          0.00086776,            0.007096,            0.007096,            0.007096
                  46,            0.026955,           0.0061116,           0.0011566,             0.98094,             0.97858,             0.99088,             0.65192,            0.026248,           0.0039214,          0.00082715,             0.00703,             0.00703,             0.00703
                  47,            0.027472,           0.0061815,           0.0014079,             0.96504,             0.97848,             0.98852,             0.63471,            0.026478,           0.0039824,          0.00086213,            0.006964,            0.006964,            0.006964
